Date,Centre_Name,Commodity_Name,Price
04-02-09,CHANDIGARH,Potato,NA
04-02-09,DELHI,Potato,250
04-02-09,SHIMLA,Potato,NA
04-02-09,SRINAGAR,Potato,NA
04-02-09,JAMMU,Potato,NA
04-02-09,AMRITSAR,Potato,300
04-02-09,LUDHIANA,Potato,400
04-02-09,LUCKNOW,Potato,NA
04-02-09,DEHRADUN,Potato,300
04-02-09,RAIPUR,Potato,NA
04-02-09,AHMEDABAD,Potato,NA
04-02-09,BHOPAL,Potato,300
04-02-09,MUMBAI,Potato,NA
04-02-09,JAIPUR,Potato,200
04-02-09,PATNA,Potato,NA
04-02-09,RANCHI,Potato,NA
04-02-09,BHUBANESHWAR,Potato,480
04-02-09,KOLKATA,Potato,NA
04-02-09,GUWAHATI,Potato,NA
04-02-09,SHILLONG,Potato,NA
04-02-09,AIZWAL,Potato,NA
04-02-09,KOHIMA,Potato,NA
04-02-09,AGARTALA,Potato,NA
04-02-09,BENGALURU,Potato,900
04-02-09,T.PURAM,Potato,NA
04-02-09,CHENNAI,Potato,600
04-02-09,HYDERABAD,Potato,NA
05-02-09,CHANDIGARH,Potato,NA
05-02-09,DELHI,Potato,250
05-02-09,SHIMLA,Potato,NA
05-02-09,SRINAGAR,Potato,NA
05-02-09,JAMMU,Potato,NA
05-02-09,AMRITSAR,Potato,300
05-02-09,LUDHIANA,Potato,400
05-02-09,LUCKNOW,Potato,300
05-02-09,DEHRADUN,Potato,NA
05-02-09,RAIPUR,Potato,NA
05-02-09,AHMEDABAD,Potato,NA
05-02-09,BHOPAL,Potato,NA
05-02-09,MUMBAI,Potato,NA
05-02-09,JAIPUR,Potato,NA
05-02-09,PATNA,Potato,NA
05-02-09,RANCHI,Potato,NA
05-02-09,BHUBANESHWAR,Potato,480
05-02-09,KOLKATA,Potato,NA
05-02-09,GUWAHATI,Potato,NA
05-02-09,SHILLONG,Potato,NA
05-02-09,AIZWAL,Potato,NA
05-02-09,KOHIMA,Potato,NA
05-02-09,AGARTALA,Potato,NA
05-02-09,BENGALURU,Potato,900
05-02-09,T.PURAM,Potato,NA
05-02-09,CHENNAI,Potato,NA
05-02-09,HYDERABAD,Potato,NA
06-02-09,CHANDIGARH,Potato,NA
06-02-09,DELHI,Potato,250
06-02-09,SHIMLA,Potato,NA
06-02-09,SRINAGAR,Potato,NA
06-02-09,JAMMU,Potato,NA
06-02-09,AMRITSAR,Potato,300
06-02-09,LUDHIANA,Potato,400
06-02-09,LUCKNOW,Potato,300
06-02-09,DEHRADUN,Potato,NA
06-02-09,RAIPUR,Potato,NA
06-02-09,AHMEDABAD,Potato,NA
06-02-09,BHOPAL,Potato,300
06-02-09,MUMBAI,Potato,NA
06-02-09,JAIPUR,Potato,NA
06-02-09,PATNA,Potato,NA
06-02-09,RANCHI,Potato,NA
06-02-09,BHUBANESHWAR,Potato,480
06-02-09,KOLKATA,Potato,NA
06-02-09,GUWAHATI,Potato,NA
06-02-09,SHILLONG,Potato,NA
06-02-09,AIZWAL,Potato,NA
06-02-09,KOHIMA,Potato,NA
06-02-09,AGARTALA,Potato,NA
06-02-09,BENGALURU,Potato,900
06-02-09,T.PURAM,Potato,NA
06-02-09,CHENNAI,Potato,NA
06-02-09,HYDERABAD,Potato,NA
09-02-09,CHANDIGARH,Potato,NA
09-02-09,DELHI,Potato,250
09-02-09,SHIMLA,Potato,NA
09-02-09,SRINAGAR,Potato,NA
09-02-09,JAMMU,Potato,NA
09-02-09,AMRITSAR,Potato,NA
09-02-09,LUDHIANA,Potato,NA
09-02-09,LUCKNOW,Potato,300
09-02-09,DEHRADUN,Potato,NA
09-02-09,RAIPUR,Potato,NA
09-02-09,AHMEDABAD,Potato,NA
09-02-09,BHOPAL,Potato,NA
09-02-09,MUMBAI,Potato,NA
09-02-09,JAIPUR,Potato,NA
